C,Precision,Recall,ROC-AUC
0.01,0.3407141655922417,0.7602251407129456,0.8175765605591653
0.1,0.3406925921775188,0.760475297060663,0.8175649192551339
1.0,0.3407295343755253,0.7606003752345216,0.8175635818805882
10.0,0.3407295343755253,0.7606003752345216,0.8175634853086846
100.0,0.3407295343755253,0.7606003752345216,0.8175634618973139
